Id,Label,debug,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Eigenvector Centrality,Component ID,Strongly-Connected ID,Clustering Coefficient
112.0,TIA,1190.0,18,18,36,36.0,18.0,18.0,8.0,3.3265179677819083,93.91955455613265,4.697157E-4,4.7012247E-4,19,2.8932964253554594E-4,0.11810110559526728,0,22,0.5294118
113.0,BOJ,1191.0,11,11,22,22.0,11.0,11.0,8.0,3.504027261462206,155.44869800438335,2.9666253E-4,2.9691946E-4,19,2.1351005681478907E-4,0.07076104619541398,0,22,0.54545456
114.0,PDV,1193.0,2,2,4,4.0,2.0,2.0,9.0,4.246282527881041,0.0,7.416563E-5,7.4229865E-5,19,7.141740682709768E-5,0.008525756623469658,0,22,1.0
115.0,SOF,1194.0,41,41,82,82.0,41.0,41.0,8.0,3.189900867410161,1206.2406503833029,0.001038319,0.0010392182,19,5.997852818065379E-4,0.2812791586133728,0,22,0.5432927
116.0,VAR,1196.0,9,9,18,18.0,9.0,9.0,8.0,3.5548327137546467,35.24970095400227,2.472188E-4,2.4743288E-4,19,1.7387056843950476E-4,0.05205693148473963,0,22,0.5555556
117.0,LCA,1197.0,55,53,108,108.0,55.0,53.0,8.0,3.0985130111524164,2690.0397474970214,0.0013844252,0.0013856242,19,8.299819712915168E-4,0.313002369120696,0,22,0.4053872
118.0,PFO,1198.0,25,25,50,50.0,25.0,25.0,8.0,3.347893432465923,785.8687826378894,6.4276886E-4,6.433255E-4,19,3.931343194663573E-4,0.1237837119046235,0,22,0.33
119.0,EGS,12.0,1,1,2,2.0,1.0,1.0,10.0,6.034696406443619,0.0,4.944376E-5,4.9486578E-5,21,1.3843185832622894E-4,1.803208421024144E-4,0,22,0.0
120.0,YQR,120.0,9,9,18,18.0,9.0,9.0,7.0,3.3664807930607186,0.0,2.472188E-4,2.4743288E-4,3,2.4821607925189015E-4,0.044723098228155934,0,22,1.0
121.0,DBV,1200.0,41,41,82,82.0,41.0,41.0,8.0,3.2413258983890954,2341.987855054142,0.001038319,0.0010392182,19,6.096067665253739E-4,0.27157973573351424,0,22,0.50232285
122.0,OSI,1202.0,4,4,8,8.0,4.0,4.0,9.0,4.080235439900868,4.786551510043647,1.236094E-4,1.2371644E-4,19,9.961316640768582E-5,0.015882608019783414,0,22,0.5833333
123.0,PUY,1203.0,13,14,27,27.0,13.0,14.0,8.0,3.3231102850061958,308.37483959148267,3.461063E-4,3.4640604E-4,19,2.236785348618806E-4,0.07824821895878567,0,22,0.46153846
124.0,RJK,1205.0,7,7,14,14.0,7.0,7.0,8.0,3.4426889714993805,29.243137894911435,1.9777504E-4,1.9794631E-4,19,1.3729016804668047E-4,0.03778804050363707,0,22,0.625
125.0,SPU,1206.0,36,36,72,72.0,36.0,36.0,8.0,3.247831474597274,1997.14180577899,9.147095E-4,9.155017E-4,19,5.500591336473251E-4,0.2328147934619274,0,22,0.5307808
126.0,ZAG,1208.0,28,27,55,55.0,28.0,27.0,8.0,3.2245972738537794,8647.707813244242,7.169345E-4,7.1755535E-4,19,4.7385692410157124E-4,0.18703608167417213,0,22,0.51984125
127.0,ZAD,1209.0,24,24,48,48.0,24.0,24.0,8.0,3.3627633209417596,421.4054965676941,6.1804696E-4,6.185822E-4,19,3.584894112684405E-4,0.1160385107108935,0,22,0.317029
128.0,YQT,121.0,11,9,20,20.0,11.0,9.0,8.0,3.5535935563816605,124980.03990788582,2.9666253E-4,2.9691946E-4,3,6.351602434546763E-4,0.011748391814023401,0,22,0.15384616
129.0,ALC,1212.0,96,96,192,192.0,96.0,96.0,8.0,3.1728624535315983,23577.250318981838,0.0023980222,0.002400099,19,0.0014666187085189703,0.38147235260415396,0,22,0.22072369
130.0,LEI,1213.0,14,15,29,29.0,14.0,15.0,8.0,3.3667905824039654,179.11207235856233,3.7082817E-4,3.7114933E-4,19,2.3486658818789381E-4,0.0873584177882661,0,22,0.5619048
131.0,OVD,1214.0,10,10,20,20.0,10.0,10.0,8.0,3.3788723667905822,13.428566525964596,2.7194066E-4,2.7217617E-4,19,1.745340041740609E-4,0.07045588632461844,0,22,0.73333335
132.0,BIO,1216.0,35,35,70,70.0,35.0,35.0,8.0,3.1939281288723667,725.6462533846518,8.899876E-4,8.9075835E-4,19,5.274794143696655E-4,0.25393954626971305,0,22,0.6420168
133.0,BCN,1218.0,163,163,326,326.0,163.0,163.0,8.0,2.7967781908302354,114458.11134639457,0.004054388,0.004057899,19,0.002532627338345391,0.7313932971555382,0,22,0.23305309
134.0,BJZ,1219.0,2,2,4,4.0,2.0,2.0,8.0,3.56908302354399,0.0,7.416563E-5,7.4229865E-5,19,7.387088002969886E-5,0.02018144023721289,0,22,1.0
135.0,YQU,122.0,2,2,4,4.0,2.0,2.0,8.0,3.9439281288723667,0.0,7.416563E-5,7.4229865E-5,3,9.339303649627919E-5,0.005155427758862895,0,22,1.0
